FILENAME,ModalName,Name_Agreement_Total,Name_Agreement_Responders,DKO,DKN,Category,Familiarity_Mean,Visual_Complexity_Mean,Objective_Agreement_Mean,Viewpoint_Mean,Manipulability_Mean,H-value
bracelet01,bracelet,0.538461538,0.617647059,0.03,0.05,Jewel & money,3.447368421,2.210526316,2.818181818,3.545454545,2.939393939,2.080443257
bracelet04,bracelet,0.41025641,0.516129032,0.05,0.13,Decoration & gift accessory,3.810810811,2.324324324,2.96969697,3.212121212,3.303030303,2.478232197
brainmodel,brain,0.380952381,0.380952381,0,0,Bodypart,4.19047619,2.738095238,,,2.352941176,2.486275808
branch02,branch,0.358974359,0.4,0.03,0.03,Natural element,4.324324324,2.108108108,3.606060606,3.5625,2.454545455,1.670421026
brassknuckle,Brass knuckles,0.341463415,0.777777778,0.39,0.1,War related weapon & item,2.717948718,1.820512821,,,2.5625,1.208648951
brasslipstrike,Door bolt plate,0.047619048,0.111111111,0.05,0.41,Building material,4.075,1.829268293,,,1.818181818,3.836591668
bread,Bread,0.609756098,0.625,0,0.02,Food,4.341463415,2.390243902,3.21875,3.75,2.03030303,1.862901414
breadknife,knife,0.428571429,0.43902439,0,0,Kitchen & utensil,4.619047619,1.761904762,,,3.235294118,1.915685994
breadslice,Bread slice,0.357142857,0.357142857,0,0,Food,4.761904762,1.69047619,,,2.705882353,2.156452474
brick,brick,0.948717949,1,0,0.05,Building material,3.641025641,2.205128205,3.818181818,4.121212121,1.757575758,0
bridge,bridge,0.904761905,0.904761905,0,0,Building infrastructure,4.523809524,2.333333333,3,3.3125,2.205882353,0.548954434
bridgestick,Pool Rake,0.047619048,0.111111111,0.14,0.33,Gamestoy & entertainment,3.35,1.641025641,,,2.909090909,4.05881389
broadsword,sword,0.761904762,0.780487805,0,0.02,War related weapon & item,3.857142857,1.928571429,3.5625,4.1875,3.205882353,1.45511298
broccoli01a,broccoli,0.974358974,0.974358974,0,0,Food,4.657142857,2.742857143,4.6875,4.21875,1.28125,0.172036949
brooch,brooch,0.421052632,0.516129032,0.08,0.08,Decoration & gift accessory,3,3.58974359,3.151515152,3.606060606,2.121212121,2.257111134
broom01,broom,0.871794872,0.944444444,0,0.05,Household article & cleaner,4.256410256,2.289473684,4.5,3.03125,3.90625,0.365098985
